file,measure,spine,old,new,method,reference
beethoven_piano_sonatas_sonata08-1,=297||,1,16r,16.r,parallel_passage,"Grave return; =298 and =299 write the same sigh figure with 16.r on beat 2, and without the dot this bar holds only 124 of 128. Source line 2562"
beethoven_piano_sonatas_sonata08-1,=297||,2,16r,16.r,parallel_passage,"Same correction, right hand; shares the line with the left"
beethoven_piano_sonatas_sonata18-3,=27,1,8r,4r,parallel_passage,"Trio, close of the first strain. The strain is entered on a quarter upbeat, so its last bar must hold two beats for the repeat to close the bar; with an eighth rest it holds one and a half. The second strain ends the same way and writes a quarter rest. The engraved rest is an eighth, so this corrects the plate. Source line 238"
beethoven_piano_sonatas_sonata18-3,=27,2,8r,4r,parallel_passage,"Same correction, right hand; shares the line with the left"
joplin_rosebud,*,1,"*>[I,A,A1,A,A2,B,B1,B,B2,C1,C2,D,E,E1,E2]","*>[I,A,A1,A,A2,B,B1,B,B2,C,C1,C,C2,D,E,E1,E2]",printed_score,"The Trio has its own music, a first and a second ending and a repeat, but the playback order names only the endings, so thirty bars are never reached. Reference edition p.2 system 4 opens the Trio with a repeat sign"
joplin_rosebud,*,2,"*>[I,A,A1,A,A2,B,B1,B,B2,C1,C2,D,E,E1,E2]","*>[I,A,A1,A,A2,B,B1,B,B2,C,C1,C,C2,D,E,E1,E2]",printed_score,"Same correction, spine 2"
joplin_rosebud,*,3,"*>[I,A,A1,A,A2,B,B1,B,B2,C1,C2,D,E,E1,E2]","*>[I,A,A1,A,A2,B,B1,B,B2,C,C1,C,C2,D,E,E1,E2]",printed_score,"Same correction, spine 3"
joplin_rosebud,*,1,=40,=40!|:,printed_score,"The Trio opens on a repeat sign in the reference edition; without it the closing repeat has no place to return to"
joplin_rosebud,*,2,=40,=40!|:,printed_score,"Same correction, spine 2"
joplin_rosebud,*,3,=40,=40!|:,printed_score,"Same correction, spine 3"
humdrum_chopin_first_editions_004-1-HAc-001,*,2,*A1,*>A1,sibling_spine,"Section marker for the first ending, written *>A1 in the other kern spine of the same line and with *> in both spines at every other section in the file. Without the > the label is not a section marker at all, so the first ending has no section to belong to. Source line 1078"
joplin_figleaf,=17,2,8cccL<] 4gg] ee-] cc],8cccL<],printed_score,"Reference edition p.2 first system: the right hand is two voices — a syncopated upper line (16th ff, 8th ee-, 16th ccc tied over) and below it dotted-8th+16th chords whose 16th gg/ee-/cc ties into a quarter filling beat 2. The print shows two eighth chords on separate stems for the upper voice, no quarter there; the transcription packed the lower voice's quarter into the upper voice's eighth chord. This row restores the upper voice. Source line 162"
joplin_figleaf,=17,3,4ryy,4gg] ee-] cc],printed_score,"The lower voice's tied quarter, displaced into spine 2 by the row above; the yy invisible-rest marker is the transcriber's own note that the print shows no rest here. Source line 162"
joplin_figleaf,=51,2,8cccL<] 4gg] ee-] cc],8cccL<],printed_score,"Strain reprise, byte-identical to =17; same correction. Source line 470"
